input_title,input_year,found_in_tmdb,tmdb_id,title,release_date,runtime,genres,directors,cast,keywords,production_companies,original_language,budget,revenue,directors_other,cast_other,keywords_other
Capone,2020.0,True,429422,Capone,2020-06-26,103.0,Crime; Drama,,Tom Hardy; Linda Cardellini; Matt Dillon; Kyle MacLachlan; Noel Fisher,gangster; biography; based on true story,Bron Studios; Addictive Pictures; Creative Wealth Media Finance; Lawrence Bender Productions; Endeavor Content; AI Film Entertainment,en,20600000.0,858281.0,Josh Trank,Kathrine Narducci; Jack Lowden; Tilda Del Toro; Al Sapienza; Mason Guccione,
Cape Fear,Unknown,True,1598,Cape Fear,1991-11-13,128.0,Drama; Crime; Thriller,Martin Scorsese,Robert De Niro; Nick Nolte; Jessica Lange; Juliette Lewis; Joe Don Baker; Robert Mitchum; Martin Balsam; Fred Thompson,prison; small town; child abuse; rape; houseboat; cigar smoking; remake; revenge; stalking; lawyer; psychological thriller; fear; rebellious daughter; rapist; private detective; killing a dog; threat to family,Amblin Entertainment; Cappa Productions; Tribeca Productions; Universal Pictures,en,35000000.0,182300000.0,,Gregory Peck; Illeana Douglas,family terrorized
Capote,Unknown,True,398,Capote,2005-09-30,114.0,Crime; Drama,Bennett Miller,Philip Seymour Hoffman; Catherine Keener; Clifton Collins Jr.; Bruce Greenwood; Bob Balaban; Mark Pellegrino; Marshall Bell; Amy Ryan; Chris Cooper,"dreams; based on novel or book; self-fulfilling prophecy; identity; literature; journalism; biography; based on true story; kansas, usa; magazine; author; 1950s; 1960s",United Artists; A-Line Pictures; Cooper's Town; Infinity Media; Metro-Goldwyn-Mayer,en,7000000.0,49327405.0,,Bess Meyer,literature research; truman capote
Captain America: Brave New World,Unknown,True,822119,Captain America: Brave New World,2025-02-12,119.0,Action; Thriller; Science Fiction,,Anthony Mackie; Harrison Ford; Tim Blake Nelson; Giancarlo Esposito; Liv Tyler; Jóhannes Haukur Jóhannesson,hero; usa president; the white house; superhero; revenge; aftercreditsstinger; marvel cinematic universe (mcu); sidekick; assassination attempt; political thriller; cliché,Marvel Studios; Kevin Feige Productions,en,180000000.0,413640021.0,Julius Onah,Danny Ramirez; Shira Haas; Carl Lumbly; Xosha Roquemore,summit; treaty; international relations
Captain America: The First Avenger,Unknown,True,1771,Captain America: The First Avenger,2011-07-22,124.0,Action; Adventure; Science Fiction,Joe Johnston,Chris Evans; Hayley Atwell; Sebastian Stan; Tommy Lee Jones; Hugo Weaving; Dominic Cooper; Richard Armitage; Stanley Tucci; Samuel L. Jackson; Toby Jones,"new york city; nazi; superhero; world war ii; heroism; shield; based on comic; super soldier; period drama; brooklyn, new york city; nostalgic; aftercreditsstinger; marvel cinematic universe (mcu); origin story; soldiers; war; celebratory; earnest; excited",Marvel Studios; Marvel Entertainment,en,140000000.0,370569774.0,,,
Captain America: The Winter Soldier,Unknown,True,100402,Captain America: The Winter Soldier,2014-03-20,136.0,Action; Adventure; Science Fiction,Joe Russo; Anthony Russo,Chris Evans; Samuel L. Jackson; Scarlett Johansson; Robert Redford; Sebastian Stan; Anthony Mackie; Cobie Smulders; Frank Grillo,"washington dc, usa; superhero; shield; based on comic; aftercreditsstinger; duringcreditsstinger; marvel cinematic universe (mcu); political thriller",Marvel Studios,en,170000000.0,714766572.0,,Maximiliano Hernández; Emily VanCamp,
Captain Fantastic,Unknown,True,334533,Captain Fantastic,2016-07-08,118.0,Adventure; Drama,,Viggo Mortensen; George MacKay; Annalise Basso; Charlie Shotwell; Frank Langella; Ann Dowd,parent child relationship; new mexico; socialism; wilderness; melancholy; road trip; family relationships; survivalist; in-laws; mental illness; death of mother; washington state; bohemian; school bus; isolated house; naturalist; death of wife; calm,Electric City Entertainment; Shivhans Pictures,en,5000000.0,23123592.0,Matt Ross,Samantha Isler; Nicholas Hamilton; Shree Troietta Crooks; Trin Miller,homeschooling; off the grid; social isolation; noam chomsky; living off the grid; pacific northwest
Capernaum,Unknown,True,517814,Capernaum,2018-09-20,126.0,Drama,,,child abuse; slum; refugee; child bride; lawsuit; undocumented immigrant; poverty,Boo Pictures; Mooz Films; Les Films des Tournelles; Open City Films; KNM; Synchronicity Films; Louverture Films; The Bridge Production,other,4000000.0,64978931.0,Nadine Labaki,Zain Al Rafeea; Yordanos Shifera; Boluwatife Treasure Bankole; Kawsar Al Haddad; Fadi Kamel Yousef; Cedra Izzam; Alaa Chouchnieh; Elias Khoury; Nadine Labaki; Nour el Husseini,neglect; life in the slums; slum dwellers
Captain America: Civil War,Unknown,True,271110,Captain America: Civil War,2016-04-27,147.0,Adventure; Action; Science Fiction,Joe Russo; Anthony Russo,Chris Evans; Robert Downey Jr.; Scarlett Johansson; Sebastian Stan; Anthony Mackie; Don Cheadle; Jeremy Renner; Chadwick Boseman; Paul Bettany; Elizabeth Olsen,superhero; based on comic; sequel; super soldier; aftercreditsstinger; duringcreditsstinger; marvel cinematic universe (mcu); angry; superhero teamup; bitter,Marvel Studios,en,250000000.0,1155046416.0,,,
Captain Marvel,Unknown,True,299537,Captain Marvel,2019-03-06,124.0,Action; Adventure; Science Fiction,Ryan Fleck; Anna Boden,Brie Larson; Samuel L. Jackson; Ben Mendelsohn; Jude Law; Annette Bening; Djimon Hounsou; Lee Pace; Lashana Lynch; Gemma Chan; Clark Gregg,superhero; based on comic; alien invasion; super power; aftercreditsstinger; duringcreditsstinger; marvel cinematic universe (mcu); woman director; 1990s; alien technology; introspective; complicated,Marvel Studios,en,152000000.0,1131416446.0,,,female hero
Captain Underpants: The First Epic Movie,Unknown,True,268531,Captain Underpants: The First Epic Movie,2017-06-01,88.0,Family; Comedy; Adventure; Animation,,Kevin Hart; Thomas Middleditch; Ed Helms; Nick Kroll; Jordan Peele; Kristen Schaal; Mel Rodriguez,friendship; based on novel or book; superhero; underwear; villain; comic book; school; principal; based on children's book; suspenseful; excited; vibrant,DreamWorks Animation; Scholastic Entertainment,en,38000000.0,125427681.0,David Soren,DeeDee Rescher; Brian Posehn; David Soren,grade school; sock puppet
Captain Phillips,Unknown,True,109424,Captain Phillips,2013-10-10,134.0,Action; Drama; Thriller,Paul Greengrass,Tom Hanks; Michael Chernus; Corey Johnson; Chris Mulkey; Yul Vazquez,ship; africa; fisherman; hijacking; poverty; pirate; terrorism; commando; cargo ship,Columbia Pictures; Michael De Luca Productions; Scott Rudin Productions; Trigger Street Productions,en,55000000.0,218791811.0,,Barkhad Abdi; Barkhad Abdirahman; Faysal  Ahmed; Mahat M. Ali; David Warshofsky,somalia; hijack; ship hijacking; somali; set in africa
Carl's Date,Unknown,True,1076364,Carl's Date,2023-06-15,9.0,Animation; Adventure; Family; Comedy,Bob Peterson,Ed Asner; Bob Peterson,date; love; dog; short film; animated short,Pixar,en,0.0,0.0,,,
Captain America,1990.0,True,13995,Captain America,1990-12-14,97.0,Action; Adventure; Science Fiction; War,,Ronny Cox; Ned Beatty; Darren McGavin; Michael Nouri; Melinda Dillon,"martial arts; captain; washington dc, usa; superhero; wretch; based on comic; terrorism; super villain",Jadran Film; 21st Century Film Corporation; Marvel Entertainment Group; Menahem Golan Productions,en,3000000.0,0.0,Albert Pyun,Matt Salinger; Scott Paulin; Kim Gillingham; Bill Mumy; Francesca Neri,
Carnage,Unknown,True,72113,Carnage,2011-09-16,80.0,Comedy; Drama,Roman Polanski,Jodie Foster; Kate Winslet; Christoph Waltz; John C. Reilly,flat; hamster; dark comedy; vomit; based on play or musical; writer; meeting; liberal; tense,SBS Productions; Constantin Film; Versátil Cinema; Zanagar Films; France 2 Cinéma; SPI Film Studios; CVT Productions,en,25000000.0,30722632.0,,Elvis Polanski; Eliot Berger; Joseph Rezwin; Nathan Rippy; Tanya Lopert; Julie Adams,insult; tulips; puke; pants; domestic dispute
Carmen,2022.0,True,865368,Carmen,2022-09-23,87.0,Drama; Romance,,Natascha McElhone,playful; lighthearted; sympathetic,Falkun Films; Aiken Heart Films,other,0.0,0.0,Valerie Buhagiar,Steven Love; Michela Farrugia; Richard Clarkin; Henry Zammit Cordina; Paul Portelli; Peter Galea; Pauline Fenech; André Agius; Rachel Fabri,
Carnival of Souls,Unknown,True,16093,Carnival of Souls,1962-11-02,78.0,Horror; Mystery; Fantasy,,,car crash; b movie; female protagonist; psychotronic,Harcourt Productions; Centron Corporation,en,30000.0,0.0,Herk Harvey,Candace Hilligoss; Herk Harvey; Sidney Berger; Frances Feist; Art Ellison; Stan Levitt; Tom McGinnis; Forbes Caldwell; Dan Palmquist; Bill de Jarnette,organ; organ music
Career Girls,Unknown,True,49462,Career Girls,1997-06-01,87.0,Drama,Mike Leigh,Andy Serkis,college; reunion; reunited friends,Channel Four Films; Thin Man Films; Matrix Films & Television,en,0.0,0.0,,Katrin Cartlidge; Lynda Steadman; Kate Byers; Mark Benton; Joe Tucker; Margo Stanley; Michael Healy,
Carrie,1976.0,True,7340,Carrie,1976-11-03,98.0,Horror; Thriller,Brian De Palma,Sissy Spacek; Piper Laurie; Amy Irving; John Travolta; Nancy Allen; Betty Buckley; P. J. Soles,high school; child abuse; based on novel or book; isolation; cemetery; stage; bible; telekinesis; teacher; revenge; unrequited love; prom; religion; teenage girl; school; cruelty; rage; humiliation; crucifix; praying; outsider; taunting; hostile; abusive mother; religious horror; mother daughter relationship; supernatural horror; school bullying; suspenseful; horrified; tragic; teen scream,United Artists,en,1800000.0,33800000.0,,William Katt; Priscilla Pointer; Sydney Lassick,firestorm
Carrie,2013.0,True,7340,Carrie,1976-11-03,98.0,Horror; Thriller,Brian De Palma,Sissy Spacek; Piper Laurie; Amy Irving; John Travolta; Nancy Allen; Betty Buckley; P. J. Soles,high school; child abuse; based on novel or book; isolation; cemetery; stage; bible; telekinesis; teacher; revenge; unrequited love; prom; religion; teenage girl; school; cruelty; rage; humiliation; crucifix; praying; outsider; taunting; hostile; abusive mother; religious horror; mother daughter relationship; supernatural horror; school bullying; suspenseful; horrified; tragic; teen scream,United Artists,en,1800000.0,33800000.0,,William Katt; Priscilla Pointer; Sydney Lassick,firestorm
Carlito's Way,Unknown,True,6075,Carlito's Way,1993-11-10,144.0,Crime; Drama; Thriller,Brian De Palma,Al Pacino; Sean Penn; Penelope Ann Miller; John Leguizamo; Luis Guzmán; James Rebhorn; Viggo Mortensen,new york city; based on novel or book; gangster; go-go dancer; release from prison; 1970s; cocaine; nightclub; criminal past; love; lawyer; drugs; disco; neo-noir,Universal Pictures; Epic Productions; Bregman/Baer Productions,en,30000000.0,63848322.0,,Ingrid Rogers; Joseph Siravo; Richard Foronjy,puerto rico
Cars,Unknown,True,920,Cars,2006-06-08,117.0,Animation; Adventure; Comedy; Family,John Lasseter,Owen Wilson; Paul Newman; Bonnie Hunt; Larry the Cable Guy; Cheech Marin; Tony Shalhoub; Paul Dooley,"friendship; car race; sports; villain; success; route 66; retirement; road trip; anthropomorphism; love; racing; rural area; los angeles, california; aftercreditsstinger; duringcreditsstinger; rookie; dedication",Pixar; Walt Disney Pictures,en,120000000.0,461983149.0,,Guido Quaroni; Jenifer Lewis; Michael Wallis,porsche; humility
Carry-On,2024.0,True,1005331,Carry-On,2024-12-05,120.0,Thriller; Action,Jaume Collet-Serra,Taron Egerton; Jason Bateman; Sofia Carson; Danielle Deadwyler; Logan Marshall-Green; Dean Norris; Sinqua Walls,"blackmail; flight; los angeles, california; christmas eve",Dylan Clark Productions; DreamWorks Pictures,en,47000000.0,0.0,,Theo Rossi; Gil Perez-Abraham; Tonatiuh,los angeles airport (lax)
Carol,2015.0,True,258480,Carol,2015-11-20,118.0,Romance; Drama,Todd Haynes,Cate Blanchett; Rooney Mara; Kyle Chandler; Jake Lacy; Sarah Paulson; John Magaro; Cory Michael Smith,"hotel; new year's eve; chicago, illinois; new york city; based on novel or book; parent child relationship; age difference; department store; photography; road trip; lesbian relationship; divorce; lesbian sex; lgbt; child custody; older woman younger woman relationship; 1950s; loving; lesbian; wistful; intimate; sentimental; adoring; ambiguous; comforting; compassionate; exuberant; gentle",Killer Films; Number 9 Films; Film4 Productions,en,11800000.0,40272135.0,,Kevin Crowley; Nik Pajic; Carrie Brownstein,santa hat
Cars 3,Unknown,True,260514,Cars 3,2017-06-15,102.0,Family; Comedy; Adventure; Animation,,Owen Wilson; Chris Cooper; Nathan Fillion; Larry the Cable Guy; Armie Hammer; Tony Shalhoub; Bonnie Hunt,sports; trainer; villain; sequel; anthropomorphism; travel; racing; high tech; aftercreditsstinger,Pixar,en,175000000.0,383925276.0,Brian Fee,Cristela Alonzo; Ray Magliozzi; Lea DeLaria,
Casa de Mi Padre,Unknown,True,80304,Casa de Mi Padre,2012-03-15,84.0,Comedy; Western,,Will Ferrell; Molly Shannon; Gael García Bernal; Nick Offerman; Efren Ramirez; Genesis Rodriguez; Diego Luna; Adrian Martinez,mexico; organized crime; drug lord; aftercreditsstinger; duringcreditsstinger,Gary Sanchez Productions; NALA Films,en,0.0,5909483.0,Matt Piedmont,Mariann Gavelo; Pedro Armendáriz Jr.,padre
Cars 2,Unknown,True,49013,Cars 2,2011-06-11,106.0,Animation; Family; Adventure; Comedy,John Lasseter,Larry the Cable Guy; Owen Wilson; Michael Caine; Emily Mortimer; Eddie Izzard; John Turturro; Joe Mantegna; Thomas Kretschmann,car race; sports; spy; villain; sequel; anthropomorphism; best friend; british spy; duringcreditsstinger; loving; pathetic; absurd,Pixar; Walt Disney Pictures,en,200000000.0,559852396.0,,Brent Musburger; Peter Jacobson,grand prix
Casino,Unknown,True,524,Casino,1995-11-22,179.0,Crime; Drama,Martin Scorsese,Robert De Niro; Sharon Stone; Joe Pesci; James Woods; Don Rickles; Kevin Pollak,drug abuse; casino; based on novel or book; poker; italian american; gambling; 1970s; fbi; pimp; greed; cocaine; overdose; marriage; car bomb; rise and fall; money; murder; organized crime; mafia; jewish american; las vegas; desert; safe deposit box; 1980s; dramatic; brutal violence; fbi surveillance,Universal Pictures; Syalis DA; Légende Films; Cappa/De Fina Productions,en,50000000.0,116112375.0,,Alan King; L.Q. Jones; Dick Smothers; Frank Vincent,
Casper,Unknown,True,8839,Casper,1995-05-26,100.0,Fantasy; Comedy; Family,Brad Silberling,Christina Ricci; Bill Pullman; Cathy Moriarty; Eric Idle; Brad Garrett; Dan Aykroyd,friendship; afterlife; supernatural; halloween; bullying; treasure hunt; based on comic; friends; teenage girl; ghost hunting; super power; psychiatry; ghost; disorder; young heroes; imaginary; mischievous children; ghost child,The Harvey Entertainment Company; Universal Pictures; Amblin Entertainment,en,50000000.0,287928194.0,,Malachi Pearson; Joe Alaskey; Joe Nipote; Devon Sawa,mischief; unfinished business
Casablanca,Unknown,True,1386711,Casablanca,2024-11-20,9.0,Animation,,Unknown,Unknown,,other,0.0,0.0,Riho Unt,,
Case 39,Unknown,True,28355,Case 39,2009-08-13,109.0,Horror; Mystery; Thriller,,Renée Zellweger; Ian McShane; Bradley Cooper; Callum Keith Rennie; Cynthia Stevenson,child abuse; social worker; detective; office; supernatural; murder; mental institution; pier; super power; deadly,Paramount Vantage; Misher Films; Anonymous Content; Case 39 Productions,en,27000000.0,29000000.0,Christian Alvart,Jodelle Ferland; Adrian Lester; Kerry O'Malley; Alexander Conti; Philip Cabrita,cityscape; drawn; falling elevator
Casper Meets Wendy,Unknown,True,39345,Casper Meets Wendy,1998-09-10,90.0,Family; Fantasy; Comedy; TV Movie,Sean McNamara,Hilary Duff; Shelley Duvall; Cathy Moriarty; Teri Garr; Jess Harnell; Vincent Schiavelli,Unknown,Saban Entertainment; The Harvey Entertainment Company; 20th Century Fox Home Entertainment; 20th Century Fox; Brookwell-McNamara Entertainment,en,0.0,0.0,,George Hamilton; Jeremy Foley; Jim Ward; Richard Moll,
Casino Royale,2006.0,True,36557,Casino Royale,2006-11-14,144.0,Adventure; Action; Thriller,Martin Campbell,Daniel Craig; Eva Green; Mads Mikkelsen; Judi Dench; Jeffrey Wright; Giancarlo Giannini; Isaach de Bankolé,banker; casino; based on novel or book; poker; italy; spy; money; torture; terrorism; mi6; british secret service; serious; dramatic; thriller; intense; action; adventure; bold; tragic,Metro-Goldwyn-Mayer; Columbia Pictures; EON Productions; Casino Royale Productions,en,150000000.0,599045960.0,,Caterina Murino; Simon Abkarian; Jesper Christensen,montenegro
Cassandro,Unknown,True,729120,Cassandro,2023-09-14,107.0,Drama,,Gael García Bernal; Raúl Castillo,sports; transvestite; entertainer; texas; wrestling; biography; based on true story; lgbt; mother son relationship,Motto Pictures; Escape Artists; Grand Illusion Films; La Corriente del Golfo; Amazon MGM Studios,en,0.0,0.0,Roger Ross Williams,Roberta Colindrez; Perla de la Rosa; Joaquín Cosío; El Hijo del Santo; Bad Bunny; Gigántico; Yavor Vesselinov; Leonardo Alonso,mexican
Castle in the Sky,Unknown,True,10515,Castle in the Sky,1986-08-02,125.0,Adventure; Fantasy; Animation; Action; Family,Hayao Miyazaki,,army; flying; magic; mine; castle; lost civilisation; pirate; orphan; government agent; air pirate; anime; adventure; amused,Studio Ghibli; Nibariki; Tokuma Shoten,ja,3000000.0,5228752.0,,Keiko Yokozawa; Mayumi Tanaka; Minori Terada; Kotoe Hatsui; Fujio Tokita; Ichiro Nagai; Hiroshi Ito; Machiko Washio; Takuzō Kamiyama; Yoshito Yasuhara,floating; pendant; blue sky; crystal
Castello Cavalcanti,Unknown,True,236028,Castello Cavalcanti,2013-11-12,8.0,Comedy,Wes Anderson,Jason Schwartzman,car race; italy; family history,The Directors Bureau; Hi! Production; Prada; American Empirical Pictures,en,0.0,0.0,,Giada Colagrande; Giorgio Zancolla; Paolo Coluccio; Silvano Broglia; Francesco Bonaccorso; Michele de Paolo; Igino Angelini; Livia La Terza; Giampolo Pietraforte,
Cat People,1982.0,True,6217,Cat People,1982-04-02,118.0,Thriller; Horror,Paul Schrader,Malcolm McDowell; John Heard; Ruby Dee; Ed Begley Jr.; Frankie Faison,cat; shotgun; eroticism; transformation; remake; attack; lingerie; held captive; incest; morphing; erotic movie; turned into animal; animal transformation,Universal Pictures; RKO Pictures; Charles Fries Productions,en,12500000.0,21000000.0,,Nastassja Kinski; Annette O'Toole; Scott Paulin; Ron Diamond; Lynn Lowry,dissection; jungle cat; cats
Casualties of War,Unknown,True,10142,Casualties of War,1989-08-18,113.0,Drama; History; War,Brian De Palma,Michael J. Fox; Sean Penn; John C. Reilly; John Leguizamo; Ving Rhames; Wendell Pierce,vietnam war; vietcong; rape; court; menace; based on true story; jungle; soldier; anti war,Columbia Pictures,en,22500000.0,18671317.0,,Don Harvey; Thuy Thu Le; Erik King; Jack Gwaltney,
Cat Person,Unknown,True,843394,Cat Person,2023-10-06,118.0,Thriller; Comedy,,Nicholas Braun; Geraldine Viswanathan; Isabella Rossellini; Hope Davis; Liza Koshy,dating; based on short story; woman director; college student; movie theater; cringe comedy,StudioCanal; The New Yorker Studios; Echelon Productions; 30WEST; Imperative Entertainment,en,12000000.0,282000.0,Susanna Fogel,Emilia Jones; Christopher Shyer; Josh Rivera; Melissa Lehman; Isaac Powell,asexuality
Catch Me If You Can,2002.0,True,640,Catch Me If You Can,2002-12-16,141.0,Drama; Crime,Steven Spielberg,Leonardo DiCaprio; Tom Hanks; Christopher Walken; Martin Sheen; Amy Adams; James Brolin,fbi; con man; biography; based on true story; con artist; engagement party; christmas; conman; suspenseful,Parkes/MacDonald Productions; Kemp Company; Splendid Pictures,en,52000000.0,352114312.0,,Nathalie Baye; Brian Howe; Frank John Hughes; Steve Eastin,attempted jailbreak; mislaid trust; bank fraud; fraudster
Cat People,Unknown,True,6217,Cat People,1982-04-02,118.0,Thriller; Horror,Paul Schrader,Malcolm McDowell; John Heard; Ruby Dee; Ed Begley Jr.; Frankie Faison,cat; shotgun; eroticism; transformation; remake; attack; lingerie; held captive; incest; morphing; erotic movie; turned into animal; animal transformation,Universal Pictures; RKO Pictures; Charles Fries Productions,en,12500000.0,21000000.0,,Nastassja Kinski; Annette O'Toole; Scott Paulin; Ron Diamond; Lynn Lowry,dissection; jungle cat; cats
Casting JonBenet,Unknown,True,430826,Casting JonBenet,2017-04-28,81.0,Documentary; Crime; Drama,Kitty Green,,,Meridian Productions; Forensic Films; Symbolic Entertainment; Symbolic Exchange,en,0.0,0.0,,Hannah Cagwin; Aeona Cruz; Liv Bagley; Shylee Sagle; Danika Toolson; Emma Winslow; Elle Walker; Kaydence Lucero; Nicole Hamilton; Kit Thompson,reenactment
Cast Away,Unknown,True,8358,Cast Away,2000-12-22,143.0,Adventure; Drama,Robert Zemeckis,Tom Hanks; Helen Hunt,exotic island; suicide attempt; survival; loneliness; airplane crash; deserted island; tropical island,20th Century Fox; DreamWorks Pictures; ImageMovers; Playtone,en,90000000.0,429632142.0,,Chris Noth; Paul Sanchez; Lari White; Leonid Citer; David Allen Brooks; Semion Sudarikov; Peter Von Berg; Dmitri S. Boudrine,volleyball
Catherine Called Birdy,Unknown,True,795109,Catherine Called Birdy,2022-09-23,108.0,Adventure; Comedy,Lena Dunham,Andrew Scott; Joe Alwyn; Sophie Okonedo,arranged marriage; teenage girl; middle ages (476-1453); 13th century,Working Title Films; Good Thing Going; Amazon Studios,en,0.0,0.0,,Bella Ramsey; Billie Piper; Lesley Sharp; Paul Kaye; Dean-Charles Chapman; Isis Hainsworth; Archie Renaux,medieval england
Cats,2019.0,True,536869,Cats,2019-12-19,110.0,Fantasy; Comedy; Drama,Tom Hooper,Judi Dench; Idris Elba; Jennifer Hudson; James Corden; Ian McKellen; Taylor Swift; Rebel Wilson; Ray Winstone,"dance; cat; musical; based on play or musical; resurrection; based on song, poem or rhyme; vignette; disapproving; disheartening",Universal Pictures; Perfect World Pictures; Working Title Films; Amblin Entertainment; Monumental Pictures; The Really Useful Group,en,95000000.0,77276321.0,,Francesca Hayward; Jason Derulo,so bad it’s good
Cat on a Hot Tin Roof,Unknown,True,4367,Cat on a Hot Tin Roof,1984-08-19,144.0,TV Movie; Drama,,Jessica Lange; Tommy Lee Jones; Rip Torn,plantation; male homosexuality; alcoholic; inheritance fight,American Playhouse; Showtime Networks,en,0.0,0.0,Jack Hofsiss,Kim Stanley; Penny Fuller; David Dukes; Macon McCalman; Thomas Hill; Fran Bennett; Ami Foster,frigidity
Caught by the Tides,Unknown,True,1136837,Caught by the Tides,2024-11-22,111.0,Drama,Jia Zhangke,,Unknown,Xstream Pictures; Momo Pictures; Huanxi Media Group; Wishart Media; MK2 Films; Ad Vitam Production; Bitters End,zh,0.0,254.0,,Zhao Tao; Zhubin Li; Pan Jianlin; Zhou Lan; Zhou You; Ren Ke; Mao Tao; Liang Jingdong; Wei Wei Zhao,
Causeway,Unknown,True,595586,Causeway,2022-10-28,96.0,Drama,,Jennifer Lawrence; Brian Tyree Henry; Linda Emond; Stephen McKinley Henderson; Neal Huff,"post-traumatic stress disorder (ptsd); new orleans, louisiana; swimming pool; car accident; mourning; veteran; nostalgic; questioning; woman director; mysterious; shocking; zealous; philosophical; mother daughter relationship; wonder; serious; audacious; powerful; straightforward",Excellent Cadaver; IAC Films; A24; IPR.VC,en,0.0,0.0,Lila Neugebauer,Jayne Houdyshell; Russell Harvard; Sean Carvajal; Frederick Weller; Will Pullen,brain injury
Cats & Dogs,Unknown,True,1068727,Cats & Dogs,2023-01-08,5.0,Documentary,,,social documentary; documentary filmmaking; nature documentary,,en,0.0,0.0,Vashist Thakwani,Gautam Pradhan; Abhinav Gupta; Jay Rustagi; Vedansh Pal; Injabul Sheikh,bangalore
Cecil B. Demented,Unknown,True,14195,Cecil B. Demented,2000-08-02,88.0,Crime; Comedy; Action,John Waters,Melanie Griffith; Stephen Dorff; Alicia Witt; Maggie Gyllenhaal; Lawrence Gilliard Jr.; Michael Shannon,"kidnapping; baltimore, usa; satire; satanist; perversion; terrorism; film director",Le Studio Canal+; Polar Entertainment,en,10000000.0,1961544.0,,Adrian Grenier; Jack Noseworthy; Harry Dodge; Eric Barry,blindfold; cinephile
Catwoman,Unknown,True,314,Catwoman,2004-07-22,104.0,Action; Fantasy; Crime,,Halle Berry; Benjamin Bratt; Sharon Stone; Lambert Wilson; Frances Conroy; Alex Borstein,superhero; based on comic; vigilante; evil corporation; female protagonist; urban setting; masked vigilante; super villain; masked superhero,Village Roadshow Pictures; Di Novi Pictures; Frantic Films; Maple Shade Films; Catwoman Films; Warner Bros. Pictures,en,100000000.0,82102379.0,Pitof,Michael Massee; Byron Mann; Kim Smith; Christopher Heyerdahl,
Catfish,Unknown,True,42296,Catfish,2010-09-17,87.0,Documentary,Ariel Schulman; Henry Joost,,dating; aftercreditsstinger; online dating,Hit the Ground Running Films; Supermarché,en,30000.0,3045943.0,,Nēv Schulman; Ariel Schulman; Angela Wesselman-Pierce; Melody C. Roscher; Henry Joost; Wendy Whelan; Craig Hall; Tiler Peck; Drew Jacoby; Rubi Pronk,
Cemetery of Splendor,Unknown,True,298721,Cemetery of Splendor,2015-09-02,122.0,Drama; Fantasy,Apichatpong Weerasethakul,,cemetery; river; soldier; illness,The Match Factory; Louverture Films; Tordenfilm; ZDF/Arte; Geißendörfer Film-und Fernsehproduktion; Detalle Films; Astro Shaw; Kick the Machine; Anna Sanders Films; Asia Culture Centre-Asian Arts Theatre; CNC; Illuminations Films,other,980000.0,89487.0,,Jenjira Pongpas; Banlop Lomnoi; Jarinpattra Rueangram; Petcharat Chaiburi; Tawatchai Buawat; Sujittraporn Wongsrikeaw; Bhattaratorn Senkraigul; Sakda Kaewbuadee; Pongsadhorn Lertsukon; Sasipim Piwansenee,sleeping
Central Intelligence,Unknown,True,302699,Central Intelligence,2016-06-16,107.0,Action; Comedy,Rawson Marshall Thurber,Dwayne Johnson; Kevin Hart; Amy Ryan; Jason Bateman; Aaron Paul; Ryan Hansen,central intelligence agency (cia); espionage; spy; secret agent; high school reunion; reconnect; accountant; high school classmates,New Line Cinema; Bluegrass Films; RatPac Entertainment; Principato-Young Entertainment; Perfect World Pictures,en,50000000.0,216972543.0,,Danielle Nicolet; Tim Griffin; Timothy John Smith; Sione Kelepi,radical transformation; glory days
Cats & Dogs: The Revenge of Kitty Galore,Unknown,True,39691,Cats & Dogs: The Revenge of Kitty Galore,2010-07-29,82.0,Family; Adventure; Comedy; Fantasy; Action,Brad Peyton,James Marsden; Nick Nolte; Christina Applegate; Bette Midler; Neil Patrick Harris; Sean Hayes; Wallace Shawn; Roger Moore,torture; aftercreditsstinger; duringcreditsstinger,Village Roadshow Pictures; Polymorphic Pictures; Mad Chance; CD2 Films; Warner Bros. Pictures; Warner Bros. Entertainment,en,85000000.0,112483764.0,,Pascale Hutton; Katt Williams,
Central Station,Unknown,True,1225509,Set Sail 2024 - China Central Radio and Television Station New Year's Eve Party,2023-12-31,0.0,Music; Documentary,Unknown,,Unknown,China Media Group,zh,0.0,0.0,,Xiaoyun Huang; Wu Chun; Wang Xingyue; Sun Nan; VaVa; Wei Daxun; Jimmy Lin Chih-Ying; Zhang Qi; Zhou Bichang; Hu Xia,
Censor,2021.0,True,663866,Censor,2021-06-11,84.0,Horror; Mystery,,Michael Smiley,film in film; censorship; woman director; video nasty; 1980s; film censorship; mysterious disappearance,Silver Salt Films; Film4 Productions; Ffilm Cymru Wales; Cinelab London; Kodak Motion Picture Products; Rook Films,en,0.0,314785.0,Prano Bailey-Bond,Niamh Algar; Nicholas Burns; Vincent Franklin; Sophia La Porta; Adrian Schiller; Clare Holman; Andrew Havill; Felicity Montagu; Danny Lee Wynter,anonymous telephone call; dead sister
Cellular,Unknown,True,9759,Cellular,2004-09-06,94.0,Action; Thriller; Drama; Crime,David R. Ellis,Kim Basinger; Chris Evans; Jason Statham; William H. Macy; Noah Emmerich; Eric Christian Olsen; Jessica Biel,"police; psychopath; bank; telephone; los angeles, california; home invasion; cell phone; duringcreditsstinger",Electric Entertainment,en,25000000.0,57678321.0,,Valerie Cruz; Richard Burgi; Rick Hoffman,
