input_title,input_year,found_in_tmdb,tmdb_id,title,release_date,runtime,genres,directors,cast,keywords,production_companies,original_language,budget,revenue
12 Angry Men,Unknown,True,389.0,12 Angry Men,1957-04-10,97.0,Drama,Sidney Lumet,Martin Balsam; John Fiedler; Lee J. Cobb; E.G. Marshall; Jack Klugman; Edward Binns; Jack Warden; Henry Fonda; Joseph Sweeney; Ed Begley,death penalty; anonymity; court case; court; judge; jurors; father murder; class; heat; innocence; puerto rico; based on play or musical; black and white; courtroom; courtroom drama; dialog driven; persidangan; sidang,United Artists; Orion-Nova Productions,en,397751.0,4360000.0
12 Strong,Unknown,True,429351.0,12 Strong,2018-01-18,130.0,War; Drama; Action; History,Nicolai Fuglsig,Chris Hemsworth; Michael Shannon; Michael Peña; Navid Negahban; Trevante Rhodes; Geoff Stults; Thad Luckinbill; Austin Stowell; Ben O'Toole; Jack Kesy,central intelligence agency (cia); based on novel or book; afghanistan; based on true story; taliban; post 9/11,Torridon Films; Alcon Entertainment; Black Label Media; Jerry Bruckheimer Films; 16:14 Entertainment,en,35000000.0,67450815.0
13 Assassins,Unknown,True,58857.0,13 Assassins,2010-09-25,141.0,Adventure; Drama; Action,Takashi Miike,Koji Yakusho; Takayuki Yamada; Yūsuke Iseya; Goro Inagaki; Kazue Fukiishi; Hiroki Matsukata; Tsuyoshi Ihara; Ikki Sawamura; Arata Furuta; Sousuke Takaoka,suicide; mission; japan; assassin; samurai; immortality; swordsman; massacre; battle; samurai sword; seppuku; code of honor; ronin; kimono; jidaigeki; edo period; warrior; 19th century; harakiri; bakumatsu,TOHO; Sedic International; Toei Studios Kyoto; OLM; TV Asahi Music; IMAGICA; TV Asahi; dentsu; Shogakukan; The Asahi Shimbun; Asahi Broadcasting Corporation; Nagoya Broadcasting Network; Kyushu Asahi Broadcasting; Television Hokkaido Broadcasting; Yahoo! Japan; TSUTAYA Group; Hiroshima Home Television; Sedic Deux; Raku Film; Recorded Picture Company; HanWay Films; Japan Action Enterprise,ja,6000000.0,17555141.0
127 Hours,Unknown,True,44115.0,127 Hours,2010-11-12,94.0,Adventure; Drama; Thriller,Danny Boyle,James Franco; Kate Mara; Amber Tamblyn; Clémence Poésy; Lizzy Caplan; Kate Burton; Treat Williams; Sean Bott; Fenton Quinn; John Lawrence,canyon; based on novel or book; utah; photography; despair; hiking; biography; engineer; based on true story; alone; mountain biking; struggle for survival; trapped; boulder; cavern; video recorder; adventurer; rock climbing; isolated; hikers; memories; hallucinations; desperation,Fox Searchlight Pictures; Pathé; Everest Entertainment; Cloud Eight Films; Decibel Films; DSP; Film4 Productions; Dune Entertainment; Big Screen Productions; Down Productions,en,18000000.0,35700000.0
13 Going on 30,Unknown,True,10096.0,13 Going on 30,2004-04-13,98.0,Comedy; Fantasy; Romance,Gary Winick,Jennifer Garner; Mark Ruffalo; Judy Greer; Andy Serkis; Kathy Baker; Phil Reeves; Sam Ball; Marcia DeBonis; Christa B. Allen; Sean Marquette,new york city; photographer; editor-in-chief; time travel; wish; beautiful woman; child as an adult; friends in love; age change; teenager; didactic; time jump; adult,Columbia Pictures; Revolution Studios; Thirteen Productions,en,37000000.0,96500000.0
102 Dalmatians,Unknown,True,10481.0,102 Dalmatians,2000-10-07,100.0,Family; Comedy,Kevin Lima,Glenn Close; Gérard Depardieu; Ioan Gruffudd; Alice Evans; Tim McInnerny; Eric Idle; Ben Crompton; Carol MacReady; Ian Richardson; Jim Carter,"prison; london, england; release from prison; parrot; women's prison; puppy; pelz; dog; dalmatian; live action remake; playful",Walt Disney Pictures; Cruella Productions; Kanzaman S.A.M.,en,85000000.0,183611771.0
12 Years a Slave,Unknown,True,76203.0,12 Years a Slave,2013-10-18,134.0,Drama; History,Steve McQueen,Chiwetel Ejiofor; Michael Fassbender; Lupita Nyong'o; Benedict Cumberbatch; Paul Dano; Sarah Paulson; Adepero Oduye; Scoot McNairy; Paul Giamatti; Brad Pitt,slavery; plantation; based on memoir or autobiography; violin player; physical abuse; black slave; usa history; slave owner; 19th century; sold into slavery; abolitionist; landowner; abuse of power; african american history,New Regency Pictures; Plan B Entertainment; River Road Entertainment; Regency Enterprises; Film4 Productions,en,20000000.0,187000000.0
13 Hours: The Secret Soldiers of Benghazi,Unknown,True,300671.0,13 Hours: The Secret Soldiers of Benghazi,2016-01-14,144.0,War; Action; History; Drama; Thriller,Michael Bay,John Krasinski; James Badge Dale; Dominic Fumusa; Max Martini; Pablo Schreiber; Matt Letscher; Alexia Barlier; David Costabile; David Denman; Payman Maadi,central intelligence agency (cia); based on novel or book; libya; assault rifle; grave; mercenary; melancholy; heroism; biography; based on true story; explosion; biting; american abroad; death; blunt; mourning; questioning; angry; aggressive; frantic; grim; reflective; u.s. ambassador; complex; anxious; cautionary; provocative; factual; critical; incredulous; tense; intense; bitter; appreciative; baffled; bewildered; bold; commanding; defiant; dignified; disapproving; disdainful; disheartening; enraged; foreboding; frustrated; harsh; informative; scathing; sincere; sympathetic; tragic; wry,Paramount Pictures; 3 Arts Entertainment; Bay Films,en,50000000.0,69411370.0
13th,Unknown,True,407806.0,13th,2016-10-07,100.0,Documentary,Ava DuVernay,"Jelani Cobb; Angela Davis; Henry Louis Gates, Jr.; Michelle Alexander; Cory Booker; Marie Gottschalk; Michael Hough; Gina Clayton; David Keene; James Kilgore",prison; politics; slavery; race politics; murder; conspiracy; racism; race; illegal drugs; political correctness; woman director; usa history; political debate; political documentary; social & cultural documentary; african american history,Kandoo Films; MakeMake,en,0.0,0.0
1941,1941.0,True,236578.0,1941,1941-11-14,4.0,,Francis Lee,,avant-garde; short film,,en,0.0,0.0
2 Guns,Unknown,True,136400.0,2 Guns,2013-08-02,109.0,Action; Comedy; Crime,Baltasar Kormákur,Denzel Washington; Mark Wahlberg; Paula Patton; Edward James Olmos; Bill Paxton; James Marsden; Fred Ward; Robert John Burke; Greg Sproles; Patrick Fischler,undercover agent; undercover; based on comic; money; fugitive; bank robbery; dea agent,Universal Pictures; Marc Platt Productions; EFO Films; Envision Entertainment; Foresight Unlimited; Oasis Entertainment; Herrick Entertainment; BOOM! Studios; Empyre Media Capital,en,61000000.0,131940411.0
16 Wishes,Unknown,True,40205.0,16 Wishes,2010-10-02,90.0,Fantasy; Drama; Family,Peter DeLuise,Debby Ryan; Jean-Luc Bilodeau; Anna Mae Wills; Karissa Tynes; Brenda Crichlow; Kendall Cross; Joel Semande; Gary Jones; Keenan Tracey; Cainan Wiebe,high school; magic; fairy; birthday party; growing up; wasp; candle; former best friend; sweet sixteen; friends in love; wishes come true; high school rivalry,MarVista Entertainment,en,0.0,0.0
1917,1917.0,True,1298965.0,Women's Football in Gävle in 1917,1917-12-01,1.0,Documentary,,,,,sv,0.0,0.0
1922,2017.0,True,452507.0,1922,2017-10-20,102.0,Horror; Crime; Drama,Zak Hilditch,Thomas Jane; Molly Parker; Dylan Schmid; Kaitlyn Bernard; Neal McDonough; Tanya Champoux; Brian d'Arcy James; Bob Frazer; Eric Keenleyside; Patrick Keating,based on novel or book; parent child relationship; greed; ranch; haunted house; haunting; hallucination; murder; corpse; cynical; guilt; vengeful ghost; farmer; stealing money; hidden corpse; rat; guilty conscience; hopeless; grim; cautionary; cornfield; callous; horrified,Campfire Studios; Lighthouse Pictures,en,5000000.0,2943477.0
1408,Unknown,True,3021.0,1408,2007-06-22,104.0,Horror; Mystery,Mikael Håfström,John Cusack; Samuel L. Jackson; Mary McCormack; Jasmine Jessica Anthony; Tony Shalhoub; Alexandra Silber; Noah Lee Margetts; William Armstrong; Paul Birchard; Margot Leicester,hotel; hotel room; new york city; research; fire; husband wife relationship; window; loss of loved one; door; painting; telephone; haunted house; writer; ghost hunter,Dimension Films; di Bonaventura Pictures,en,25000000.0,133000000.0
17 Again,Unknown,True,16996.0,17 Again,2009-03-11,102.0,Comedy; Fantasy; Drama; Romance,Burr Steers,Zac Efron; Leslie Mann; Thomas Lennon; Michelle Trachtenberg; Sterling Knight; Matthew Perry; Tyler Steelman; Allison Miller; Adam Gregory; Hunter Parrish,high school; affectation; fake identity; bullying; high school sports; adult as a child; do over; age change; lighthearted; amused; enchant,New Line Cinema; Offspring Entertainment,en,20000000.0,136300000.0
2010: The Year We Make Contact,1984.0,True,4437.0,2010,1984-12-06,116.0,Thriller; Science Fiction,Peter Hyams,Roy Scheider; John Lithgow; Helen Mirren; Bob Balaban; Keir Dullea; Douglas Rain; Madolyn Smith Osborne; Savely Kramarov; Taliesin Jaffe; James McEachin,jupiter; super computer; space travel; space mission; ghost ship; sequel; space; astronaut; monolith; space opera; near future,Metro-Goldwyn-Mayer,en,28000000.0,40400000.0
2 or 3 Things I Know About Her,Unknown,True,8074.0,2 or 3 Things I Know About Her,1967-03-17,87.0,Comedy; Drama,Jean-Luc Godard,Marina Vlady; Jean-Luc Godard; Anny Duperey; Roger Montsoret; Raoul Lévy; Jean Narboni; Yves Beneyton; Juliet Berto; Helena Bielicic; Christophe Bourseiller,vietnam war; prostitute; coffee; housewife; prostitution; essay film; nursery; quotation,Argos films; Anouchka Films; Les Films du Carrosse; Parc Film,fr,0.0,0.0
2001: A Space Odyssey,2001.0,True,62.0,2001: A Space Odyssey,1968-04-02,149.0,Science Fiction; Mystery; Adventure,Stanley Kubrick,Keir Dullea; Gary Lockwood; William Sylvester; Douglas Rain; Daniel Richter; Leonard Rossiter; Margaret Tyzack; Robert Beatty; Sean Sullivan; Frank W. Miller,man vs machine; moon; jupiter; artificial intelligence (a.i.); based on novel or book; technology; super computer; space travel; space mission; moon base; astronaut; evolution; monolith; space station; space opera; philosophical; complex; 2000s; dreary; ai rebellion; tense; audacious; baffled; excited,Stanley Kubrick Productions; Metro-Goldwyn-Mayer,en,12000000.0,71923560.0
2 Fast 2 Furious,Unknown,True,584.0,2 Fast 2 Furious,2003-06-05,107.0,Action; Crime; Thriller,John Singleton,Paul Walker; Tyrese Gibson; Eva Mendes; Cole Hauser; Ludacris; James Remar; Thom Barry; Michael Ealy; Mark Boone Junior; Devon Aoki,"miami, florida; undercover; car race; sports car; street race; los angeles, california; demolition derby",Ardustry Entertainment; Mikona Productions; Original Film; Universal Pictures,en,76000000.0,236350661.0
2036: Nexus Dawn,2036.0,True,473072.0,2036: Nexus Dawn,2017-08-30,7.0,Science Fiction; Thriller,Luke Scott,Jared Leto; Benedict Wong; Ania Marson; Ned Dennehy; Ade Sapara; Set Sjöstrand,android; prohibition era; dystopia; cyberpunk; entrepreneur; blade runner; 2030s; short film,Alcon Entertainment; RSA Films; 3AM; Scott Free Productions,en,0.0,0.0
2012,2012.0,True,826440.0,2012,2012-01-01,2.0,,Johannes Gierlinger,,,,en,0.0,0.0
2048: Nowhere to Run,2048.0,True,475759.0,2048: Nowhere to Run,2017-09-14,6.0,Science Fiction; Thriller; Action,Luke Scott,Dave Bautista; Björn Freiberg; Adam Savage; Gérard Miller; Gaia Ottman; Orion Ben,"android; fight; dystopia; cyberpunk; los angeles, california; farmer; blade runner; haggling; 2040s; short film",Alcon Entertainment; Scott Free Productions,en,0.0,0.0
20th Century Women,Unknown,True,342737.0,20th Century Women,2016-12-28,118.0,Drama,Mike Mills,Annette Bening; Elle Fanning; Greta Gerwig; Billy Crudup; Lucas Jade Zumann; Alison Elliott; Thea Gill; Vitaly Andrew LeBeau; Olivia Hone; Waleed Zuaiter,"parent child relationship; 1970s; balcony; feminism; punk rock; coming of age; feminist; free spirit; single mother; generation gap; santa barbara, california; mother son relationship; teenager",Annapurna Pictures; Archer Gray; Modern People,en,7000000.0,5664764.0
21 Jump Street,Unknown,True,64688.0,21 Jump Street,2012-03-14,109.0,Action; Comedy; Crime,Phil Lord; Christopher Miller,Jonah Hill; Channing Tatum; Brie Larson; Dave Franco; Rob Riggle; DeRay Davis; Ice Cube; Dax Flame; Chris Parnell; Ellie Kemper,drug dealer; high school; investigation; nerd; male friendship; parody; jock; crude humor; undercover cop; high school student; police academy; buddy cop; buddy comedy; duringcreditsstinger; high school rivalry; bicycle cop; based on tv series; cops; party drugs; high school classmates,Columbia Pictures; Relativity Media; Original Film; Metro-Goldwyn-Mayer; Stephen J. Cannell Productions; SJC Studios,en,42000000.0,201585328.0
21,Unknown,True,8065.0,21,2008-03-27,123.0,Drama; Crime,Robert Luketic,Jim Sturgess; Kevin Spacey; Kate Bosworth; Aaron Yoo; Liza Lapira; Jacob Pitts; Laurence Fishburne; Jack McGee; Josh Gad; Sam Golzari,friendship; card game; casino; gambling; professor; harvard university; cohabitant; college; girlfriend; studies; dormitory; blackjack; las vegas; derogatory; frustrated,Columbia Pictures; Relativity Media; Michael De Luca Productions; Trigger Street Productions,en,35000000.0,159808370.0
2046,2046.0,True,844.0,2046,2004-10-29,128.0,Drama; Science Fiction; Romance,Wong Kar-wai,Tony Leung; Gong Li; Faye Wong; Takuya Kimura; Zhang Ziyi; Carina Lau; Chang Chen; Dong Jie; Maggie Cheung; Thongchai McIntyre,android; regret; lovesickness; jealousy; soulmates; based on novel or book; love of one's life; sexuality; symbolism; nostalgia; womanizer; murder; author; hong kong; train; break-up; illegal prostitution; extramarital affair; sensuality; 2040s; christmas eve,Shanghai Film Group; Orly Films; Paradis Films; Classic Productions; Precious Yield; Jet Tone Production,zh,12000000.0,20205757.0
21 & Over,Unknown,True,107811.0,21 & Over,2013-03-01,93.0,Comedy,Jon Lucas; Scott Moore,Miles Teller; Skylar Astin; Justin Chon; Sarah Wright; François Chau; Jonathan Keltz; Christiann Castellanos; Samantha Futerman; Daniel Booko; Basil Harris,alcohol; birthday; friends; debauchery,Mandeville Films; Relativity Media; SkyLand Entertainment; Virgin Produced,en,13000000.0,48065672.0
22 vs. Earth,Unknown,True,811367.0,22 vs. Earth,2021-04-30,9.0,Family; Comedy; Fantasy; Animation,Kevin Nolting,Tina Fey; Alice Braga; Richard Ayoade; Micah Chen; Adela Drabek; Aiyanna Miorin; Karee Ducharme; Samantha Ho; Azriel Dalman; Juliana Alcaron,earth; prequel; planet earth; short film; soul,Pixar,en,0.0,0.0
21 Grams,Unknown,True,470.0,21 Grams,2003-09-06,124.0,Drama; Crime; Thriller,Alejandro González Iñárritu,Sean Penn; Naomi Watts; Benicio del Toro; Charlotte Gainsbourg; Danny Huston; Melissa Leo; Clea DuVall; Carly Nahon; Claire Pakis; Nick Nichols,life and death; rage and hate; transplantation; faith; suicide attempt; loss of loved one; widow; ex-detainee; new mexico; sadness; car crash; multiple storylines,This is that; Y Productions; Mediana Productions Filmgesellschaft; Focus Features,en,20000000.0,60427839.0
21 Bridges,Unknown,True,535292.0,21 Bridges,2019-10-24,99.0,Crime; Action; Drama,Brian Kirk,Chadwick Boseman; Sienna Miller; J.K. Simmons; Stephan James; Taylor Kitsch; Keith David; Alexander Siddig; Louis Cancelmi; Victoria Cartagena; Gary Carr,new york city; hostage; subway; detective; shootout; police officer killed; nypd; one night; neo-noir; manhunt; intense; awestruck; vibrant,AGBO; MWM Studios; Huayi Brothers Pictures,en,33000000.0,49900000.0
24 Hour Party People,Unknown,True,2750.0,24 Hour Party People,2002-02-13,117.0,Comedy; Drama; Music,Michael Winterbottom,Steve Coogan; Paddy Considine; Sean Harris; Lennie James; Shirley Henderson; Andy Serkis; John Simm; Ralf Little; Danny Cunningham; Peter Kay,northern england; based on novel or book; 1970s; nightclub; clubbing; celebration; manchester; satirical; music,The Film Consortium; United Artists; Film4 Productions; Revolution Films; Baby Cow Productions,en,0.0,2802899.0
28 Days,Unknown,True,10468.0,28 Days,2000-04-06,103.0,Comedy; Drama,Betty Thomas,Sandra Bullock; Viggo Mortensen; Dominic West; Elizabeth Perkins; Azura Skye; Steve Buscemi; Alan Tudyk; Mike O'Malley; Marianne Jean-Baptiste; Reni Santoni,drug addiction; car crash; alcoholism; drug rehabilitation; wedding; withdrawal; sobriety; woman director,Columbia Pictures; Tall Trees Productions,en,43000000.0,62198945.0
27 Dresses,Unknown,True,6557.0,27 Dresses,2008-01-10,111.0,Comedy; Romance,Anne Fletcher,Katherine Heigl; James Marsden; Malin Åkerman; Judy Greer; Edward Burns; Melora Hardin; Brian Kerwin; Maulik Pancholy; David Castro; Krysten Ritter,newspaper; new love; lovesickness; sibling relationship; wedding planner; witness; bride; bridesmaid; romcom; sister; sibling rivalry; reporter; wedding; woman director; hilarious; cheerful; familiar,Fox 2000 Pictures; Spyglass Entertainment; Dune Entertainment III,en,30000000.0,160300000.0
28 Weeks Later,Unknown,True,1562.0,28 Weeks Later,2007-04-26,100.0,Horror; Thriller; Science Fiction,Juan Carlos Fresnadillo,Mackintosh Muggleton; Imogen Poots; Robert Carlyle; Rose Byrne; Jeremy Renner; Harold Perrineau; Catherine McCormack; Idris Elba; Amanda Walker; Shahid Ahmed,"dying and death; london, england; sibling relationship; chaos; loss of loved one; mutant; supernatural; survival; on the run; zombie; escapade; virus; plague; female corpse; deadly",DNA Films; Figment Films; UK Film Council; Fox Atomic; Koan; Sogecine; Pornhub Premium,en,15000000.0,65048725.0
3 Idiots,Unknown,True,20453.0,3 Idiots,2009-12-23,171.0,Drama; Comedy,Rajkumar Hirani,Aamir Khan; R. Madhavan; Sharman Joshi; Kareena Kapoor Khan; Boman Irani; Omi Vaidya; Rahul Kumar; Mona Singh; Javed Jaffrey; Olivier Lafont,suicide; suicide attempt; professor; college; middle class; slapstick comedy; coming of age; teacher; friends; engineering; university; subjective camera; smart kid; poor kid; student; pregnant; delhi,Vidhu Vinod Chopra Productions; Vinod Chopra Films,hi,9000000.0,70000000.0
22 Jump Street,Unknown,True,187017.0,22 Jump Street,2014-06-05,112.0,Crime; Comedy; Action,Phil Lord; Christopher Miller,Jonah Hill; Channing Tatum; Peter Stormare; Wyatt Russell; Amber Stevens West; Jillian Bell; Ice Cube; Keith Lucas; Kenneth Lucas; Nick Offerman,drug dealer; sarcasm; college; male friendship; sequel; undercover cop; buddy cop; buddy comedy; aftercreditsstinger; duringcreditsstinger; based on tv series,Columbia Pictures; Original Film; MRC; LStar Capital; Metro-Goldwyn-Mayer; 75 Year Plan Productions; Storyville Films; Cannell Studios,en,50000000.0,331333876.0
28 Years Later,Unknown,True,1100988.0,28 Years Later,2025-06-18,115.0,Horror; Thriller; Science Fiction,Danny Boyle,Jodie Comer; Aaron Taylor-Johnson; Alfie Williams; Ralph Fiennes; Edvin Ryding; Jack O'Connell; Christopher Fulford; Stella Gonet; Chi Lewis-Parry; Rocco Haynes,england; post-apocalyptic future; sequel; survival; zombie; zombie apocalypse; violence,Columbia Pictures; DNA Films; Decibel Films; TSG Entertainment,en,60000000.0,126502114.0
28 Days Later,Unknown,True,170.0,28 Days Later,2002-10-31,113.0,Horror; Thriller; Science Fiction,Danny Boyle,Cillian Murphy; Naomie Harris; Brendan Gleeson; Megan Burns; Christopher Eccleston; Noah Huntley; Luke Mably; Stuart McQuarrie; Ricci Harnett; Leo Bill,"daughter; taxi; london, england; submachine gun; gas station; infection; outbreak; survival; laboratory; hospital; zombie; brutality; church; rage; epidemic; military; virus; hopeless; waking from coma; animal research; frightened; zombies",DNA Films,en,8000000.0,85032676.0
3 Women,Unknown,True,41662.0,3 Women,1977-04-10,124.0,Drama,Robert Altman,Shelley Duvall; Sissy Spacek; Janice Rule; Robert Fortier; Ruth Nelson; John Cromwell; Sierra Pecheur; Craig Richard Nelson; Maysie Hoy; Belita Moreno,california; suicide attempt; roommates; identity crisis; avant-garde; pregnant woman; dream sequence; expectant mother; still birth; mysterious; dissociative identity disorder; shooting range; dual personality; lonely woman; new girl in town; taken under wing; duality; california desert; mural; mural artist,Lion's Gate Films; 20th Century Fox,en,1500000.0,0.0
3 from Hell,Unknown,True,489064.0,3 from Hell,2019-09-16,115.0,Horror; Thriller,Rob Zombie,Sheri Moon Zombie; Bill Moseley; Richard Brake; Emilio Rivera; Sid Haig; Jeff Daniel Phillips; Dee Wallace; Richard Edson; Danny Trejo; Kevin Jackson,prisoner; sadism; clown; sequel; murder; death; firefly; rejects,Lionsgate; Capital Arts Entertainment; Spookshow International; Saban Films,en,3000000.0,2295825.0
25th Hour,Unknown,True,66568.0,The 25th Hour,1967-04-26,121.0,Drama; War,Henri Verneuil,Anthony Quinn; Virna Lisi; Grégoire Aslan; Michael Redgrave; Marcel Dalio; Marius Goring; Jan Werich; Serge Reggiani; Alexander Knox; John Le Mesurier,world war ii; jew persecution,C. C. Champion; Les Films Concordia; Avala Film; Carlo Ponti Production; Metro-Goldwyn-Mayer,fr,0.0,0.0
300,Unknown,True,1271.0,300,2007-03-07,116.0,Action; Adventure; War,Zack Snyder,Gerard Butler; Lena Headey; Dominic West; David Wenham; Vincent Regan; Michael Fassbender; Tom Wisdom; Andrew Pleavin; Andrew Tiernan; Rodrigo Santoro,epic; army; narration; gore; based on comic; sword fight; massacre; ancient world; based on graphic novel; ancient greece; warrior; ancient warfare; sparta greece; 5th century bc; war; bloody death; sparta; spartans; battle of thermopylae; god king; battle axe; amused; audacious; based on real events,Virtual Studios; Legendary Pictures; Hollywood Gang Productions; Atmosphere Entertainment MM; Nimar Studios; Warner Bros. Pictures; Cruel & Unusual Films,en,65000000.0,456082343.0
31,2016.0,True,284564.0,31,2016-09-15,102.0,Horror; Thriller,Rob Zombie,Sheri Moon Zombie; Richard Brake; Meg Foster; Malcolm McDowell; Daniel Roebuck; Lawrence Hilton-Jacobs; Jeff Daniel Phillips; Andrea Dora; Ginger Lynn Allen; Jane Carr,nazi; sadism; psychopath; 1970s; texas; halloween; satanism; clown; carnival; survival; murder; chainsaw; maniac; game; carny; betting; killer clown; midget; ax; death game,Spectacle Entertainment Group; Windy Hill Pictures; Protagonist Pictures; Bow + Arrow Entertainment; PalmStar Media,en,1500000.0,850419.0
365 Days: This Day,Unknown,True,829557.0,365 Days: This Day,2022-04-26,111.0,Romance; Drama,Tomasz Mandes; Barbara Białowąs,Anna-Maria Sieklucka; Michele Morrone; Simone Susinna; Magdalena Lamparska; Otar Saralidze; Natasza Urbańska; Ramón Langa; Ewa Kasprzyk; Dariusz Jakubowski; Tomasz Mandes,gangster; sequel; bdsm; rich man poor woman; sex; erotique,Ekipa; Open Mind Production,pl,0.0,0.0
3:10 to Yuma,2007.0,True,5176.0,3:10 to Yuma,2007-09-06,122.0,Western,James Mangold,Russell Crowe; Christian Bale; Peter Fonda; Gretchen Mol; Ben Foster; Dallas Roberts; Alan Tudyk; Vinessa Shaw; Logan Lerman; Kevin Durand,dying and death; race against time; hero; saloon; parent child relationship; liberation of prisoners; arizona; transport of prisoners; wilderness; stetson; railway car; rivalry; gang; gunfight; family; dishonesty; heroic mission; righting the wronged; grand; factual,Lionsgate; Tree Line Films; Relativity Media; Yuma,en,55000000.0,70000000.0
30 Minutes or Less,Unknown,True,62206.0,30 Minutes or Less,2011-08-11,83.0,Action; Adventure; Comedy,Ruben Fleischer,Jesse Eisenberg; Aziz Ansari; Danny McBride; Nick Swardson; Dilshad Vadsaria; Michael Peña; Bianca Kajlich; Fred Ward; Lucas Fleischer; Brett Gelman,pizza boy; pizza delivery; aftercreditsstinger,Columbia Pictures; Red Hour; MRC,en,28000000.0,40500000.0
